BTC/USD,buy,70875.1,0.00047,market,2024-05-21T13:31:16.156572Z
BTC/USD,sell,70875,0.00124162,market,2024-05-21T13:31:18.400100Z
BTC/USD,buy,70875.1,0.00438211,market,2024-05-21T13:31:19.927343Z
BTC/USD,buy,70875.1,0.00070547,market,2024-05-21T13:31:20.202753Z
BTC/USD,buy,70875.1,0.01,market,2024-05-21T13:31:32.673218Z
BTC/USD,buy,70875.1,0.13645001,market,2024-05-21T13:31:35.399164Z
BTC/USD,sell,70875,0.00478219,limit,2024-05-21T13:31:40.029618Z
BTC/USD,sell,70870.6,0.0008472,limit,2024-05-21T13:31:40.029618Z
BTC/USD,buy,70870.7,0.0125,market,2024-05-21T13:31:40.625271Z
BTC/USD,buy,70870.7,0.015372,market,2024-05-21T13:31:42.451545Z
BTC/USD,sell,70870.6,0.00027092,market,2024-05-21T13:31:50.756723Z
BTC/USD,sell,70870.6,0.00269751,limit,2024-05-21T13:31:56.594173Z
BTC/USD,sell,70870,0.02330249,limit,2024-05-21T13:31:56.594173Z
BTC/USD,sell,70870,0.791,limit,2024-05-21T13:31:57.091406Z
BTC/USD,sell,70870,0.05678503,limit,2024-05-21T13:31:57.096387Z
BTC/USD,sell,70870,0.0001,limit,2024-05-21T13:31:57.096387Z
BTC/USD,sell,70870,0.00739073,limit,2024-05-21T13:31:57.096387Z
BTC/USD,sell,70867.2,0.01945062,limit,2024-05-21T13:31:57.617480Z
BTC/USD,sell,70861.6,0.011,market,2024-05-21T13:31:58.348441Z
BTC/USD,sell,70861.6,0.004,market,2024-05-21T13:31:58.348441Z
BTC/USD,sell,70861.6,0.00109492,market,2024-05-21T13:32:01.123229Z
BTC/USD,sell,70861.6,0.00470991,limit,2024-05-21T13:32:03.104084Z
BTC/USD,sell,70861.6,0.00118582,market,2024-05-21T13:32:08.538115Z
BTC/USD,sell,70861.6,0.00368145,market,2024-05-21T13:32:10.978585Z
BTC/USD,sell,70861.6,0.0013279,market,2024-05-21T13:32:11.092775Z
BTC/USD,sell,70861.6,0.019,market,2024-05-21T13:32:11.092775Z
BTC/USD,sell,70858.7,0.01945366,market,2024-05-21T13:32:11.092775Z
BTC/USD,sell,70854.6,0.00055109,market,2024-05-21T13:32:11.092775Z
BTC/USD,sell,70853.7,0.01863317,market,2024-05-21T13:32:11.092775Z
BTC/USD,sell,70853.7,0.03136683,market,2024-05-21T13:32:14.362511Z
BTC/USD,sell,70853.7,0.01012763,market,2024-05-21T13:32:14.362511Z
BTC/USD,sell,70853.7,0.0012,market,2024-05-21T13:32:14.362511Z
BTC/USD,sell,70851.6,0.02,market,2024-05-21T13:32:14.362511Z
BTC/USD,sell,70851,0.00049345,market,2024-05-21T13:32:14.362511Z
BTC/USD,sell,70850.2,0.00318458,market,2024-05-21T13:32:14.362511Z
BTC/USD,buy,70850.3,0.01,market,2024-05-21T13:32:14.423656Z
BTC/USD,buy,70850.3,0.0001,limit,2024-05-21T13:32:16.395510Z
BTC/USD,sell,70850.2,0.01627196,limit,2024-05-21T13:32:26.730982Z
BTC/USD,sell,70850.2,0.01332804,limit,2024-05-21T13:32:26.730982Z
BTC/USD,buy,70850.3,0.01,market,2024-05-21T13:32:32.685551Z
BTC/USD,buy,70850.3,0.000305,market,2024-05-21T13:32:37.220535Z
BTC/USD,sell,70850,0.00644785,market,2024-05-21T13:32:43.008662Z
BTC/USD,sell,70850,0.04463215,market,2024-05-21T13:32:43.008662Z
BTC/USD,sell,70850,0.000529,limit,2024-05-21T13:32:43.354043Z
BTC/USD,buy,70850.1,0.0141143,limit,2024-05-21T13:33:02.300437Z
BTC/USD,buy,70850.1,0.00141219,limit,2024-05-21T13:33:02.678628Z
BTC/USD,sell,70850,0.01555771,market,2024-05-21T13:33:07.726090Z
BTC/USD,sell,70850,0.02162866,market,2024-05-21T13:33:07.726091Z
BTC/USD,sell,70850,0.00121231,market,2024-05-21T13:33:07.726091Z
BTC/USD,buy,70850.1,0.02497056,market,2024-05-21T13:33:09.253216Z
BTC/USD,buy,70850.1,0.001657,market,2024-05-21T13:33:12.284375Z
BTC/USD,sell,70850,0.0001,market,2024-05-21T13:33:19.039611Z
BTC/USD,buy,70850.1,0.003058,market,2024-05-21T13:33:20.384884Z
BTC/USD,buy,70850.1,0.001,market,2024-05-21T13:33:32.670069Z
BTC/USD,buy,70850.1,0.00173605,market,2024-05-21T13:33:32.670069Z
BTC/USD,buy,70853,0.00726395,market,2024-05-21T13:33:32.670069Z
BTC/USD,buy,70978.9,0.00507081,market,2024-05-21T13:36:37.002598Z
BTC/USD,buy,70978.9,0.00736928,market,2024-05-21T13:36:37.002598Z
BTC/USD,buy,70978.9,0.01,market,2024-05-21T13:36:37.002598Z
BTC/USD,buy,70978.9,0.00535068,market,2024-05-21T13:36:37.002598Z
BTC/USD,buy,70978.9,0.17625163,market,2024-05-21T13:36:37.002598Z
BTC/USD,buy,70978.9,0.3,market,2024-05-21T13:36:37.002598Z
BTC/USD,buy,70978.9,0.42286457,market,2024-05-21T13:36:37.002598Z
BTC/USD,buy,70978.9,0.3,market,2024-05-21T13:36:37.002598Z
BTC/USD,buy,70978.9,0.43,market,2024-05-21T13:36:37.002598Z
BTC/USD,buy,70978.9,0.11715911,market,2024-05-21T13:36:37.002598Z
BTC/USD,sell,70978.8,0.00191746,limit,2024-05-21T13:36:37.661669Z
BTC/USD,buy,70978.9,0.00071096,limit,2024-05-21T13:36:41.771838Z
BTC/USD,sell,70978.8,0.04808254,limit,2024-05-21T13:36:41.967914Z
BTC/USD,sell,70971.7,0.02,limit,2024-05-21T13:36:44.322710Z
BTC/USD,buy,70893.7,0.00044281,market,2024-05-21T13:36:51.717716Z
